Title,Title_URL,Image,Image1,Price
OCTOPUS HOODIE ZIP,https://colkidsclub.vn/products/octopus-hoodie-zip,https://product.hstatic.net/200000436739/product/b8d71a93-4017-40c6-8bf7-8dcc3576ada2_533655f63aa24a74a6e06bff97b4e807_grande.jpeg,https://product.hstatic.net/200000436739/product/238a6e0e-1653-41d0-bd99-2f54c554f5a9_1b69962aacd842cdb2528ab53c02756e_grande.jpeg,"590,000₫"
CND OCTOPUS SOCK,https://colkidsclub.vn/products/cnd-octopus-sock,https://product.hstatic.net/200000436739/product/e0db8e06-c478-44f7-b624-b3b85df671c8_6a4886d8cf3b4d1285a9cdc6104035b2_grande.jpeg,https://product.hstatic.net/200000436739/product/afd4082d-c0c0-4fe7-ae16-775e916ef3ca_0a75310297ab4b6f99cb07cf8bb7fdbe_grande.jpeg,"180,000₫"
CND HOODIE GREY,https://colkidsclub.vn/products/cnd-hoodie-grey,https://product.hstatic.net/200000436739/product/7ae9db12-85ce-46ff-b524-896715bee4a3_caa20478866948abb1ec5468c3cac0e2_grande.jpeg,https://product.hstatic.net/200000436739/product/4ff1b770-4eed-4b5a-a90b-91a8c169c4b5_282d777c1691442f8f99dcf2ed9a447a_grande.jpeg,"580,000₫"
CND LOGO SWEATER,https://colkidsclub.vn/products/cnd-logo-sweater,https://product.hstatic.net/200000436739/product/22525e0a-6ed7-409d-bcc0-43e1a3260221_34e7c0c6f12548299b42ccbe07c62890_grande.jpeg,https://product.hstatic.net/200000436739/product/3a7d659c-5ad6-491b-87e7-a1628193b7b1_90e35c84d8904f0c8b25798eba1f5888_grande.jpeg,"390,000₫"
BASIC LONG TEE,https://colkidsclub.vn/products/basic-long-tee-mg,https://product.hstatic.net/200000436739/product/20499ec0-3cdb-486c-bb2d-891af02eb859_f8d91bebfe444558a04b07665875ff26_grande.jpeg,https://product.hstatic.net/200000436739/product/64118747-6c71-4357-a808-5f726dd5d664_6c4fdd90dafe4f77ae9771fa841b12c4_grande.jpeg,"300,000₫"
LONG WALLET CND SEASON 01,https://colkidsclub.vn/products/long-wallet-cnd-season-01,https://product.hstatic.net/200000436739/product/min03316.1_ce28b36964bc4ca4b1191b79939ef7f6_grande.jpg,https://product.hstatic.net/200000436739/product/min03306.1_eb04991ab20b4009928887f5e356b231_grande.jpg,"350,000₫"
CND VELVET FABRIC BOMBER CREAM,https://colkidsclub.vn/products/cnd-velvet-fabric-bomber-cream,https://product.hstatic.net/200000436739/product/5c7cbdd4e4622e3c7773_3c0c2e73943e4c3587c30732c82fd29f_grande.jpg,https://product.hstatic.net/200000436739/product/164eade2f4543e0a6745_7b75778164cd499ab8f2bbc3d695e3c2_grande.jpg,"650,000₫"
CND BACKPACK SS6 WHITE,https://colkidsclub.vn/products/cnd-backpack-ss6-white,https://product.hstatic.net/200000436739/product/min03295.1_ae9a5f633246487e8326d0bcc1ce6403_grande.jpg,https://product.hstatic.net/200000436739/product/min03297.1_d558a7104d7c436f9bc02af719380ebc_grande.jpg,"590,000₫"
CND BACKPACK SS6 PINK,https://colkidsclub.vn/products/cnd-backpack-ss6-pink,https://product.hstatic.net/200000436739/product/min03300.1_c43b0385e4254ea8a8d8bc187ad12cbf_grande.jpg,https://product.hstatic.net/200000436739/product/min03301.1_95ba405865514aa89313a37fd0588cf0_grande.jpg,"590,000₫"
CND BACKPACK SS6 BLACK,https://colkidsclub.vn/products/cnd-backpack-ss6-black,https://product.hstatic.net/200000436739/product/min03269.1_5fa8ea7864234b139a077de7e349f6e7_grande.jpg,https://product.hstatic.net/200000436739/product/min03275.1_95982bad69c746feaf3c845997b9f095_grande.jpg,"590,000₫"
CND ESSENTIAL JACKET BLACK WHITE,https://colkidsclub.vn/products/cnd-essential-jacket-black,https://product.hstatic.net/200000436739/product/c0bf2d55-94a8-42ba-af70-c46817080532_bc636694e2444d529eead6559d1b6887_grande.jpeg,https://product.hstatic.net/200000436739/product/acce845a-f5e3-444e-a50e-fd64a949e483_15e022428770427e853b8f20f9fb1648_grande.jpeg,"600,000₫"
CND ESSENTIAL SWEATPANTS BLACK,https://colkidsclub.vn/products/cnd-essential-sweatpants-black,https://product.hstatic.net/200000436739/product/105eb3fc-14ec-4245-822d-4df68c3965ea_dccc9733ed534698ac8bb92ab6483aa5_grande.jpeg,https://product.hstatic.net/200000436739/product/302753f1-accb-4dac-80fb-526830034304_e75fb6d1a09a464d8367d1c43035871e_grande.jpeg,"390,000₫"
CND ESSENTIAL SWEATER BLACK,https://colkidsclub.vn/products/cnd-essential-sweater-black,https://product.hstatic.net/200000436739/product/94ab89b3-3f17-442f-8cc0-a6b042537475_91b084b533934cb499d5db12f4d29ac1_grande.jpeg,https://product.hstatic.net/200000436739/product/b795dd05-c0c9-45da-87d1-bcfc58427c7e_9bb3e6e7825149c0a74e6b437c3e771c_grande.jpeg,"900,000₫"
CND ESSENTIAL SKIRT GREY,https://colkidsclub.vn/products/cnd-essential-skirt-grey,https://product.hstatic.net/200000436739/product/5052c851-515e-469f-909d-26268c0baddd_576cf1fe5f7e40558da910820b982630_grande.jpeg,https://product.hstatic.net/200000436739/product/99e5d04d-55ea-43d3-88b0-75eeceeb6ee1_85b6f40ce4a04662a69ae6f37890f9df_grande.jpeg,"390,000₫"
CND ESSENTIAL SKIRT BLACK,https://colkidsclub.vn/products/cnd-essential-skirt-black,https://product.hstatic.net/200000436739/product/596be9b9-30c9-4aff-842c-397c505e9101_dd431b48d04947fea80a8f0179b49596_grande.jpeg,https://product.hstatic.net/200000436739/product/8ac4fff2-3363-4d2a-a79f-dac2ab540dbf_d576e030e31b44a3830f5808465ac5c2_grande.jpeg,"390,000₫"
CND ESSENTIAL SHORT WHITE,https://colkidsclub.vn/products/cnd-essential-short-white,https://product.hstatic.net/200000436739/product/3b623a89-2964-4dbf-842b-57e3933adc39_c4b92919d95f4f5194e90f3022fbc973_grande.jpeg,https://product.hstatic.net/200000436739/product/0c44b612-4570-4c73-826b-52dd0ec86523_b5a44a2db04249d5a9dbb4229fa7a94c_grande.jpeg,"350,000₫"
CND ESSENTIAL SHORT BLACK,https://colkidsclub.vn/products/cnd-essential-short-black,https://product.hstatic.net/200000436739/product/f732495c-89e6-45b4-b5e9-9e2359ebd7d0_cb7c0d195ed74603a21b4c1dc1d878c6_grande.jpeg,https://product.hstatic.net/200000436739/product/54f18c20-46e9-485c-9d64-fc13a6a2a975_b5f4d18861304d41bf7c3cb96e472375_grande.jpeg,"350,000₫"
CND HOODIE COLKIDS GRAPHIC MINT,https://colkidsclub.vn/products/cnd-hoodie-colkids-graphic-mint,https://product.hstatic.net/200000436739/product/3aecb8e9-66e5-4702-90c0-331599df486d_a109c4cb1e3944239f87dc32281cba69_grande.jpeg,https://product.hstatic.net/200000436739/product/d8d9aec0-1e85-4eb8-815e-2f7d8b11aa1d_6af4d1e38f7f47bab471d13a850bb191_grande.jpeg,"500,000₫"
CND ESSENTIAL HOODIE GREY / WHITE,https://colkidsclub.vn/products/cnd-essential-hoodie-grey-white,https://product.hstatic.net/200000436739/product/aaf747c8-546a-4493-8ef0-dd0086a7c6f4_b9fe95c42a5845338e33ec30dce97920_grande.jpeg,https://product.hstatic.net/200000436739/product/2633a244-2e42-4935-acf7-764084a93785_411e1f40aa2b466f9333030e217a2597_grande.jpeg,"580,000₫"
CND CV WASH BLUE,https://colkidsclub.vn/products/cnd-cv-wash-blue,https://product.hstatic.net/200000436739/product/ff69ffb7-0fb7-4d22-9f2d-893935dbbb86_0c65139ebd904b04b6616b88693dc8f2_grande.jpeg,https://product.hstatic.net/200000436739/product/8b35d8bc-c928-4a22-8115-0deb83ce1dc6_737bc98adc574cfaaf1a1eacc34b39cb_grande.jpeg,"320,000₫"
CND SUMMER TEE TAN,https://colkidsclub.vn/products/cnd-inter-tee-tan,https://product.hstatic.net/200000436739/product/3349756d-110a-4143-95c8-1016e6e32a34_c61f25ef050f42cfae8f34381c57c81c_grande.jpeg,https://product.hstatic.net/200000436739/product/7f282b79-9fae-4f85-b3d7-ecdbe5683d16_94cb864ad40d4c2eb05c50ba530c734f_grande.jpeg,"320,000₫"
CND INTER TEE WHITE,https://colkidsclub.vn/products/cnd-inter-tee-white,https://product.hstatic.net/200000436739/product/9e1e23f6-04b5-459f-8847-317db2ab2e31_164a47540c1a4018bce354e5e381bdce_grande.jpeg,https://product.hstatic.net/200000436739/product/27e2f27c-fcff-4878-8985-ef173cbf895d_bbf0f689887a4da594de53b93a3e2887_grande.jpeg,"320,000₫"
CND INTER TEE BLACK,https://colkidsclub.vn/products/cnd-inter-tee-black,https://product.hstatic.net/200000436739/product/06640e53-bd0f-4e0e-9907-27c383e2b48a_e718f3e7150f4d8eb0d8f59e3f7f38ed_grande.jpeg,https://product.hstatic.net/200000436739/product/f0f68f7a-3122-4719-b5a8-06b62b9b77e5_933217f3ea58431fb7d0c696722b3680_grande.jpeg,"320,000₫"
CND INTER TEE  CREAM,https://colkidsclub.vn/products/cnd-inter-tee-cream,https://product.hstatic.net/200000436739/product/87d24a8b-cc8c-4cfd-a751-962546561be7_79824f18f26740f095af7fe0c735be32_grande.jpeg,https://product.hstatic.net/200000436739/product/0c3bafbc-9a83-4c7b-89b0-79e344463ec4_4b8f569318da47cf847886da3cc72758_grande.jpeg,"320,000₫"
CND INTER TEE TAN,https://colkidsclub.vn/products/cnd-summer-tan,https://product.hstatic.net/200000436739/product/5305955f-35d6-4168-97fb-739fc5ae5e57_d23c03d8cd8548e8b013ad4a78ad691d_grande.jpeg,https://product.hstatic.net/200000436739/product/7550a541-ab33-470b-a3b9-759c9742774c_102de157daea475582655c72d66bdfda_grande.jpeg,"320,000₫"
CND SUMMER TEE COFFEE,https://colkidsclub.vn/products/cnd-summer-tee-coffee,https://product.hstatic.net/200000436739/product/edc7b35f-e504-4ea2-8c9c-a892c89c2d12_450517ed14634c9a93eed8054ba2818c_grande.jpeg,https://product.hstatic.net/200000436739/product/4dc57c5d-69fe-47c1-9d07-aad79118e7f3_08473fa5b42f47e9b1c5b30bca98757e_grande.jpeg
